MUNICIPIO,NOMBRE_MUNICIPIO,SECCION,CASILLA,NOMINAL,PAN,PRI,PRD,PVEM,PT,MC,PANAL,MORENA,PES,PAN_MC,PT_MORENA_PES,PT_MORENA,PT_PES,MORENA_PES,INDEPENDIENTE_1,INDEPENDIENTE_2,INDEPENDIENTE_3,INDEPENDIENTE_4,INDEPENDIENTE_5,INDEPENDIENTE_6,INDEPENDIENTE_7,INDEPENDIENTE_8,INDEPENDIENTE_9,INDEPENDIENTE_10,INDEPENDIENTE_11,INDEPENDIENTE_12,INDEPENDIENTE_13,INDEPENDIENTE_14,INDEPENDIENTE_15,INDEPENDIENTE_16,NO_REG,NULOS
5,ASCENSIÓN,64,C1,479,93,84,0,0,4,2,0,28,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
5,ASCENSIÓN,65,B1,509,98,115,4,1,4,6,2,44,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5,ASCENSIÓN,66,B1,588,106,148,2,1,5,6,0,45,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
5,ASCENSIÓN,67,B1,627,127,134,0,2,3,3,0,42,2,5,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
5,ASCENSIÓN,68,B1,419,62,117,3,0,3,4,0,36,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
5,ASCENSIÓN,68,C1,419,74,80,2,2,1,4,0,36,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,ASCENSIÓN,69,B1,642,168,126,0,0,5,2,2,57,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
5,ASCENSIÓN,70,B1,637,146,93,1,1,7,6,0,65,2,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
5,ASCENSIÓN,70,C1,636,164,85,0,1,6,11,2,50,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
5,ASCENSIÓN,71,B1,705,117,173,3,4,5,2,1,67,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
5,ASCENSIÓN,72,B1,671,62,108,3,5,9,4,2,73,4,3,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
5,ASCENSIÓN,72,C1,671,76,105,0,2,3,6,2,92,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
5,ASCENSIÓN,73,B1,459,69,55,3,8,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
5,ASCENSIÓN,74,B1,475,62,71,3,1,7,1,0,60,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5,ASCENSIÓN,74,S1,750,12,3,1,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,ASCENSIÓN,75,B1,380,40,60,4,3,5,2,1,51,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,ASCENSIÓN,75,C1,379,45,50,3,3,1,2,0,38,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
5,ASCENSIÓN,76,B1,510,66,61,7,4,6,3,2,53,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,ASCENSIÓN,76,C1,509,71,57,4,8,5,6,1,65,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
5,ASCENSIÓN,78,B1,389,84,72,3,4,3,9,1,56,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5,ASCENSIÓN,78,C1,389,89,62,1,1,1,23,0,47,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
5,ASCENSIÓN,79,B1,393,60,79,1,1,1,5,4,40,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5,ASCENSIÓN,79,C1,392,58,98,3,2,1,3,2,25,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
5,ASCENSIÓN,80,B1,382,27,18,2,1,2,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,ASCENSIÓN,81,B1,698,36,29,0,4,3,3,0,30,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,ASCENSIÓN,81,C1,697,74,31,3,2,3,2,1,50,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,BACHINIVA,82,B1,528,184,103,1,0,4,10,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
6,BACHINIVA,83,B1,656,231,86,4,0,10,15,0,64,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
6,BACHINIVA,84,B1,318,36,28,1,0,5,1,0,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,BACHINIVA,85,B1,322,47,17,4,0,6,17,0,99,1,0,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
6,BACHINIVA,86,B1,102,33,8,2,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,BACHINIVA,87,B1,521,102,92,7,0,6,8,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
6,BACHINIVA,88,B1,355,113,61,11,0,1,9,0,44,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
6,BACHINIVA,89,B1,243,70,20,2,0,0,9,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
6,BACHINIVA,90,B1,271,72,47,2,0,5,7,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
6,BACHINIVA,91,B1,121,22,27,1,0,0,1,0,21,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,BACHINIVA,92,B1,119,33,20,1,0,4,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,BACHINIVA,94,B1,153,40,30,2,0,3,1,0,35,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,BACHINIVA,95,B1,292,56,49,0,0,5,4,0,48,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
6,BACHINIVA,97,B1,156,36,18,5,0,0,6,0,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6,BACHINIVA,98,B1,189,57,36,4,0,2,5,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6,BACHINIVA,99,B1,432,124,81,0,0,0,6,0,58,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
6,BACHINIVA,100,B1,412,90,81,26,0,3,3,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
