MUNICIPIO,SECCION,CASILLA,PAN,PRI_PVEM_PTP_PANAL,PRD,MC,MORENA,INDEPENDIENTE,NO_REG,NULOS
CUAUHTEMOC,278,C1,157,62,1,8,4,46,0,7
CUAUHTEMOC,278,C2,141,81,7,12,7,52,0,7
CUAUHTEMOC,279,B,162,60,1,13,10,58,0,5
CUAUHTEMOC,279,C1,161,72,2,6,6,48,0,11
CUAUHTEMOC,279,C2,145,67,3,14,4,59,0,6
CUAUHTEMOC,280,B,100,65,3,6,7,30,0,9
CUAUHTEMOC,280,C1,92,61,4,6,3,26,0,12
CUAUHTEMOC,281,B,75,58,3,3,2,29,0,0
CUAUHTEMOC,281,C1,86,35,0,5,5,39,0,2
CUAUHTEMOC,282,B,147,61,6,2,6,35,0,10
CUAUHTEMOC,283,B,56,67,1,8,8,11,0,11
CUAUHTEMOC,283,C1,101,45,1,8,5,20,0,8
CUAUHTEMOC,284,B,146,72,6,14,10,59,0,12
CUAUHTEMOC,284,C1,134,69,5,8,6,68,0,10
CUAUHTEMOC,284,C2,150,78,4,16,5,69,0,11
CUAUHTEMOC,284,C3,122,86,5,8,5,68,0,0
CUAUHTEMOC,285,B,149,80,5,11,5,74,0,18
CUAUHTEMOC,286,B,132,103,5,8,7,58,2,13
CUAUHTEMOC,286,C1,133,96,7,7,4,55,0,19
CUAUHTEMOC,286,C2,121,103,2,18,4,44,0,11
CUAUHTEMOC,286,C3,138,90,4,5,9,63,0,11
CUAUHTEMOC,286,C4,112,103,5,5,10,48,0,12
CUAUHTEMOC,287,B,122,92,3,7,9,51,0,16
CUAUHTEMOC,288,B,125,68,0,7,2,51,0,11
CUAUHTEMOC,288,C1,121,66,3,8,5,43,0,7
CUAUHTEMOC,289,B,225,84,2,8,7,39,1,3
CUAUHTEMOC,290,B,116,53,2,6,1,30,0,8
CUAUHTEMOC,290,C1,109,52,3,6,1,33,0,7
CUAUHTEMOC,291,B,244,90,5,5,0,56,1,11
CUAUHTEMOC,292,B,196,56,6,9,4,35,0,4
CUAUHTEMOC,293,B,101,40,2,1,1,27,0,4
CUAUHTEMOC,294,B,138,34,1,5,1,27,0,2
CUAUHTEMOC,295,B,126,40,3,6,3,13,0,2
CUAUHTEMOC,296,B,79,57,3,3,3,22,0,12
CUAUHTEMOC,296,C1,72,55,2,7,4,31,0,1
CUAUHTEMOC,297,B,149,84,2,7,7,52,0,13
CUAUHTEMOC,297,C1,134,81,1,7,16,38,0,11
CUAUHTEMOC,297,C2,143,84,5,11,8,41,0,12
CUAUHTEMOC,297,C3,128,77,2,9,7,48,0,20
CUAUHTEMOC,297,C4,152,70,4,5,0,46,3,12
CUAUHTEMOC,297,C5,121,77,2,7,9,44,4,8
CUAUHTEMOC,297,C6,142,81,4,7,9,44,2,10
CUAUHTEMOC,297,C7,128,80,2,8,7,51,0,8
CUAUHTEMOC,297,C8,125,77,3,14,10,40,0,0
CUAUHTEMOC,297,C9,138,96,4,7,9,54,0,10
CUAUHTEMOC,297,C10,152,87,6,7,7,40,0,17
CUAUHTEMOC,297,C11,145,84,6,6,6,44,0,8
CUAUHTEMOC,297,C12,119,97,3,8,4,50,0,9
CUAUHTEMOC,297,C13,147,70,4,8,6,45,0,6
CUAUHTEMOC,297,C14,119,96,4,4,7,44,0,0
CUAUHTEMOC,297,C15,126,80,2,9,10,54,0,9
CUAUHTEMOC,298,B,108,41,0,4,3,33,0,5
CUAUHTEMOC,299,B,229,81,5,10,2,70,0,9
CUAUHTEMOC,300,B,216,69,3,5,4,55,0,10
CUAUHTEMOC,301,B,163,36,1,4,5,39,0,6
CUAUHTEMOC,302,B,187,91,5,13,7,41,0,7
CUAUHTEMOC,303,B,83,74,2,8,3,29,0,10
CUAUHTEMOC,304,B,93,58,2,8,5,38,0,7
CUAUHTEMOC,305,B,134,62,1,3,4,48,0,6
CUAUHTEMOC,305,C1,146,54,4,8,5,38,0,5
CUAUHTEMOC,306,B,172,59,6,9,7,62,0,6
